year,taxrt_ccorp,taxrt_scorp,taxrt_soleprop,taxrt_partner,intded_c,intded_nc,gilti_ex,fdii_ex,taxrt_foreign,ccr_sheet,taxrt_int,taxrt_div,taxrt_scg,taxrt_lcg,stepup,sub_slti
2020,0.21,0.257061965,0.243840197,0.323577777,0.856296877,0.95636772,0.5,0.375,0.15,tcjaA,0.286042794,0.205559562,0.328200173,0.212741553,1,0.008582393
2021,0.21,0.258350672,0.242299994,0.324174819,0.870115919,0.962258635,0.5,0.375,0.15,tcjaA,0.285500844,0.202108335,0.326979544,0.212370287,1,0.008333956
2022,0.21,0.259864084,0.247702604,0.330106177,0.783148351,0.939282699,0.5,0.375,0.15,tcja22,0.285639492,0.202849902,0.326499588,0.212071223,1,0.008270379
2023,0.21,0.260428807,0.253513817,0.337308397,0.800582237,0.945952002,0.5,0.375,0.15,tcja23,0.286162425,0.204242012,0.326439131,0.21114902,1,0.008072505
2024,0.21,0.261391947,0.256145821,0.33754619,0.800935279,0.947259555,0.5,0.375,0.15,tcja24,0.28695403,0.204588232,0.325206362,0.210809735,1,0.007627952
2025,0.21,0.26214034,0.258657117,0.338884531,0.784433114,0.944058484,0.5,0.375,0.15,tcja25,0.288488163,0.205619574,0.324852788,0.210904205,1,0.007314139
2026,0.21,0.306388706,0.306457706,0.372993936,0.775912314,0.945540358,0.375,0.21875,0.15,tcja26,0.304527152,0.219890659,0.34104668,0.215272418,1,0.13644998
2027,0.21,0.306917033,0.30873241,0.374007703,0.772056359,0.945095455,0.375,0.21875,0.15,tcjaZ,0.306555723,0.221107748,0.341838915,0.215426995,1,0.136322109
2028,0.21,0.307565153,0.309683192,0.375310598,0.762663329,0.944375188,0.375,0.21875,0.15,tcjaZ,0.309602728,0.223066029,0.341825342,0.215745402,1,0.136068896
2029,0.21,0.30726031,0.313232794,0.381577738,0.762663329,0.944375188,0.375,0.21875,0.15,tcjaZ,0.312819318,0.224530646,0.341883774,0.215919143,1,0.135501738
