year,taxrt_ccorp,taxrt_scorp,taxrt_soleprop,taxrt_partner,intded_c,intded_nc,gilti_ex,fdii_ex,taxrt_foreign,ccr_sheet,taxrt_int,taxrt_div,taxrt_scg,taxrt_lcg,stepup,sub_slti,sub_sltp
2020,0.21,0.2570619649820209,0.24384019707928475,0.32357777690174216,0.856296877,0.95636772,0.5,0.375,0.15,tcjaA,0.28604279424860696,0.2055595618095828,0.3282001734439623,0.2127415533302538,1,0.008582393442617634,0.015613692011343735
2021,0.28,0.27533877174097726,0.253129835855062,0.3469146399021785,0.8701159190000001,0.962258635,0.25,0.375,0.15,bidenA,0.30467933869786956,0.240013983042373,0.3477038976690989,0.31790604250231147,0,0.008931499982087103,0.015449661189662756
2022,0.28,0.27673781466787356,0.258333158179995,0.3521201372432231,0.7831483509999999,0.939282699,0.25,0.375,0.15,biden22,0.30486585167258395,0.24050489552080648,0.34751762953795257,0.3168047407234871,0,0.008870419614934136,0.015348512396591367
2023,0.28,0.27730984456722346,0.264147648334413,0.35930826630524176,0.800582237,0.9459520020000001,0.25,0.375,0.15,biden23,0.30524976153513045,0.24178733850048495,0.3471648831842741,0.31489603178814696,0,0.008695851393456596,0.015034811770684548
2024,0.28,0.27852631699283065,0.2655458476156787,0.35659560573525856,0.800935279,0.947259555,0.25,0.375,0.15,biden24,0.3059791842453031,0.2417291737375843,0.3464170798865567,0.3136064875192735,0,0.008259795605292655,0.014437200668485743
2025,0.28,0.2795016347909525,0.26788955339288223,0.3577682380784282,0.784433114,0.944058484,0.25,0.375,0.15,biden25,0.30770873439370217,0.2428710758278775,0.34597955081123016,0.3131725575696152,0,0.007945479902238328,0.014003724173590441
2026,0.28,0.3107464476842327,0.3098372352145963,0.3784681165619274,0.775912314,0.945540358,0.25,0.21875,0.15,biden26,0.314560284531604,0.2524745167524862,0.34984978558572627,0.3125021750258197,0,0.130652914686039,0.1308410500425136
2027,0.28,0.3111752921594541,0.31226837677766467,0.3800083054979091,0.772056359,0.945095455,0.25,0.21875,0.15,bidenZ,0.31624189958814364,0.2535112753981524,0.3504100882022616,0.31243753106446187,0,0.13037563053576087,0.13061495894646175
2028,0.28,0.3118122341004894,0.31334388202515884,0.38112559855204964,0.7626633290000001,0.944375188,0.25,0.21875,0.15,bidenZ,0.319013219594539,0.255251152075228,0.35057647720429685,0.3127586821288308,0,0.1300052664750918,0.13030580181274537
2029,0.28,0.3115577565260361,0.31882944363856947,0.39183056336209676,0.7626633290000001,0.944375188,0.25,0.21875,0.15,bidenZ,0.3223454823870054,0.2567106603187391,0.3507591481515291,0.3129165571155166,0,0.1293407951813485,0.13005657098803966
