year,taxrt_ccorp,taxrt_scorp,taxrt_soleprop,taxrt_partner,intded_c,intded_nc,gilti_ex,fdii_ex,taxrt_foreign,ccr_sheet
2020,0.21,0.2570619649820209,0.24384019707928475,0.32357777690174216,0.856296877,0.95636772,0.5,0.375,0.15,tcjaA
2021,0.21,0.25835067239455906,0.24229999424851298,0.3241748187642468,0.8701159190000001,0.962258635,0.5,0.375,0.15,tcjaA
2022,0.21,0.2598640841217729,0.24770260413169054,0.3301061772587675,0.7831483509999999,0.939282699,0.5,0.375,0.15,tcja22
2023,0.21,0.2604288068394985,0.25351381678894497,0.3373083974512725,0.800582237,0.9459520020000001,0.5,0.375,0.15,tcja23
2024,0.21,0.26139194667719035,0.2561458205569743,0.33754618980126566,0.800935279,0.947259555,0.5,0.375,0.15,tcja24
2025,0.21,0.2621403395069019,0.2586571166962524,0.3388845307270272,0.784433114,0.944058484,0.5,0.375,0.15,tcja25
2026,0.21,0.26177478992310527,0.25937425573069434,0.3383508344089439,0.775912314,0.945540358,0.375,0.21875,0.15,tcja26
2027,0.21,0.2623469864684941,0.2623166387996717,0.3400198813861636,0.772056359,0.945095455,0.375,0.21875,0.15,tcjaZ
2028,0.21,0.2627547229381647,0.2638546155232063,0.3412057738663834,0.7626633290000001,0.944375188,0.375,0.21875,0.15,tcjaZ
2029,0.21,0.26271512512721884,0.2680349099862073,0.34826164992407166,0.7626633290000001,0.944375188,0.375,0.21875,0.15,tcjaZ
